Id	Globisporangium sylvaticum	Globisporangium spiculum	Globisporangium mamillatum	Globisporangium paroecandrum	Globisporangium irregulare	Globisporangium spinosum	Globisporangium heterothallicum	Globisporangium glomeratum	Globisporangium orthogonon	Globisporangium nunn	Globisporangium nodosum	Globisporangium perplexum	Phytopythium boreale	Phytopythium litorale	Phytopythium vexans	Globisporangium emineosum	Globisporangium aff._polymastum	Globisporangium jasmonium	Pythium insidiosum	Pythium monospermum	Pythium aphanidermatum	Pythium pectinolyticum	Pythium vanterpoolii	Pythium tracheiphilum	Pythium conidiophorum	Pythium aff._periilum	Pythium arrhenomanes	Pythium aff._volutum	Pythium volutum	Pythium inflatum	Pythium folliculosum	Pythium angustatum	Pythium aff._torulosum	Pythium catenulatum	Pythium afertile	Pythium kashmirense	Pythium pyrilobum	Pythium pachycaule	Pythium dissimile	Pythium chondricola	Pythium adhaerens	Pythium myriotylum	Pythium grandisporangium	Pythium lycopersicum	Pythium acanthicum	Pythium aff._hydnosporum	Pythium periplocum	Globisporangium nagaii	Globisporangium okanoganense	Globisporangium ultimum_var._ultimum	Globisporangium ultimum	Globisporangium camurandrum	Globisporangium rostratifingens	Globisporangium longandrum	Globisporangium acrogynum	Globisporangium carolinianum	Globisporangium papilogynum	Globisporangium erinaceus	Globisporangium radiosum	Globisporangium apiculatum	Globisporangium middletonii	Globisporangium rhizosaccharum	Globisporangium parvum	Globisporangium minus	Globisporangium aff._pleroticum	Globisporangium pleroticum	Globisporangium takayamanum	Globisporangium attrantheridium	Globisporangium intermedium	Pythium sp._nov	Globisporangium debaryanum	Globisporangium lucens	Globisporangium terrestris
year2019_soil_P1_adaptertrimmed_Pythium_R1.fastq	164	0	0	0	0	0	1420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	7	0	0	0	0	0	0	0	32	23	0	0	0	0
year2019_soil_P10_adaptertrimmed_Pythium_R1.fastq	149	0	0	0	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0	1162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	2069	0	0	0	0	0
year2019_soil_P11_adaptertrimmed_Pythium_R1.fastq	10	0	0	0	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0	466	0	0	0	0	0	0	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0	85	0	0	0	6	0	0	0	302	19	148	0	0	0
year2019_soil_P12_adaptertrimmed_Pythium_R1.fastq	34	0	0	0	0	0	8190	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	382	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	154	0	108	0	701	119	0	0	0	0
year2019_soil_P13_adaptertrimmed_Pythium_R1.fastq	36	0	0	0	0	0	5513	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	165	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	157	0	192	0	950	152	0	0	0	0
year2019_soil_P14_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	16	0	0	0	591	4762	1920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	117	0	9	0
year2019_soil_P15_adaptertrimmed_Pythium_R1.fastq	52	0	0	0	165	0	424	23	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	2772	425	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	1172	0	0	0	601	0	0	38	0	0	18	0	0	0	21	0	0	0	0	0	0	0	472	17	0	0	0	0
year2019_soil_P16_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	609	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
year2019_soil_P17_adaptertrimmed_Pythium_R1.fastq	321	0	0	0	0	0	1298	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	721	0	515	0	864	0	0	0	0	0
year2019_soil_P18_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	4718	257	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	32	0	0	0	0
year2019_soil_P19_adaptertrimmed_Pythium_R1.fastq	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	148	0	53	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	753	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575	86	0	0	0	0
year2019_soil_P2_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	772	3	0	0	0	0
year2019_soil_P20_adaptertrimmed_Pythium_R1.fastq	198	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	323	0	846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	40	0	0	0
year2019_soil_P21_adaptertrimmed_Pythium_R1.fastq	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2342	41	0	12	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0
year2019_soil_P22_adaptertrimmed_Pythium_R1.fastq	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	44	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	119	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	197	0	0	0
year2019_soil_P23_adaptertrimmed_Pythium_R1.fastq	56	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0
year2019_soil_P24_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	57	0	0	0	0	119	0	0	14	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	12	0	0	0	0
year2019_soil_P25_adaptertrimmed_Pythium_R1.fastq	35	0	0	0	0	70	4	0	0	0	0	0	3	0	0	0	0	6	0	0	0	0	0	85	0	0	71	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
year2019_soil_P26_adaptertrimmed_Pythium_R1.fastq	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	22	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	112	0	0	0	740	0	14	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475	0	0	0	0	0
year2019_soil_P27_adaptertrimmed_Pythium_R1.fastq	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
year2019_soil_P28_adaptertrimmed_Pythium_R1.fastq	26	0	0	0	91	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0
year2019_soil_P29_adaptertrimmed_Pythium_R1.fastq	28	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0
year2019_soil_P3_adaptertrimmed_Pythium_R1.fastq	24	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	14	0	0	0	0	354	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641	21	0	0	0	0
year2019_soil_P30_adaptertrimmed_Pythium_R1.fastq	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	85	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	4	0	0	0	0
year2019_soil_P31_adaptertrimmed_Pythium_R1.fastq	125	0	0	0	0	0	1235	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	735	0	0	0	0	37	0	0	0	0	0
year2019_soil_P32_adaptertrimmed_Pythium_R1.fastq	0	0	0	25	0	0	2110	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0
year2019_soil_P33_adaptertrimmed_Pythium_R1.fastq	0	0	0	23	0	0	2159	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	278	0	0	9	0	0	188	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0
year2019_soil_P34_adaptertrimmed_Pythium_R1.fastq	90	0	0	13	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	1550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	82	0	0	8	0	0	0	0	0	0	0	0	11	0	0	0	0	0	579	0	414	0	0	0
year2019_soil_P35_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	727	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
year2019_soil_P36_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	2027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0
year2019_soil_P37_adaptertrimmed_Pythium_R1.fastq	9	0	0	0	0	0	705	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	14	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	12	0	105	0	30	0	0	0
year2019_soil_P38_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	308	0	614	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	489	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	7	0	0	0	316	0	254	0	0	0	345	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
