Id	Location	Country	Year	Compartment	Soilweight
year2019_soil_P1_adaptertrimmed_Pythium_R1.fastq	P19_L01	France	2019	Soil	light
year2019_soil_P2_adaptertrimmed_Pythium_R1.fastq	P19_L02	France	2019	Soil	heavy
year2019_soil_P3_adaptertrimmed_Pythium_R1.fastq	P19_L03	France	2019	Soil	medium
year2019_soil_P4_adaptertrimmed_Pythium_R1.fastq	P19_L04	France	2019	Soil	medium
year2019_soil_P5_adaptertrimmed_Pythium_R1.fastq	P19_L05	France	2019	Soil	light
year2019_soil_P6_adaptertrimmed_Pythium_R1.fastq	P19_L06	Italy	2019	Soil	light
year2019_soil_P7_adaptertrimmed_Pythium_R1.fastq	P19_L07	Italy	2019	Soil	medium
year2019_soil_P8_adaptertrimmed_Pythium_R1.fastq	P19_L08	Italy	2019	Soil	medium
year2019_soil_P9_adaptertrimmed_Pythium_R1.fastq	P19_L09	Italy	2019	Soil	medium
year2019_soil_P10_adaptertrimmed_Pythium_R1.fastq	P19_L10	Italy	2019	Soil	medium
year2019_soil_P11_adaptertrimmed_Pythium_R1.fastq	P19_L11	Germany	2019	Soil	medium
year2019_soil_P12_adaptertrimmed_Pythium_R1.fastq	P19_L12	Germany	2019	Soil	medium
year2019_soil_P13_adaptertrimmed_Pythium_R1.fastq	P19_L13	Germany	2019	Soil	light
year2019_soil_P14_adaptertrimmed_Pythium_R1.fastq	P19_L14	Germany	2019	Soil	light
year2019_soil_P15_adaptertrimmed_Pythium_R1.fastq	P19_L15	Germany	2019	Soil	medium
year2019_soil_P16_adaptertrimmed_Pythium_R1.fastq	P19_L16	Germany	2019	Soil	light
year2019_soil_P17_adaptertrimmed_Pythium_R1.fastq	P19_L17	Germany	2019	Soil	medium
year2019_soil_P18_adaptertrimmed_Pythium_R1.fastq	P19_L18	Germany	2019	Soil	medium
year2019_soil_P19_adaptertrimmed_Pythium_R1.fastq	P19_L19	Germany	2019	Soil	medium
year2019_soil_P20_adaptertrimmed_Pythium_R1.fastq	P19_L20	Germany	2019	Soil	light
year2019_soil_P21_adaptertrimmed_Pythium_R1.fastq	P19_L21	Netherland	2019	Soil	light
year2019_soil_P22_adaptertrimmed_Pythium_R1.fastq	P19_L22	Netherland	2019	Soil	light
year2019_soil_P23_adaptertrimmed_Pythium_R1.fastq	P19_L23	Belgium	2019	Soil	light
year2019_soil_P24_adaptertrimmed_Pythium_R1.fastq	P19_L24	Belgium	2019	Soil	medium
year2019_soil_P25_adaptertrimmed_Pythium_R1.fastq	P19_L25	Belgium	2019	Soil	medium
year2019_soil_P26_adaptertrimmed_Pythium_R1.fastq	P19_L26	Belgium	2019	Soil	medium
year2019_soil_P27_adaptertrimmed_Pythium_R1.fastq	P19_L27	Spain	2019	Soil	medium
year2019_soil_P28_adaptertrimmed_Pythium_R1.fastq	P19_L28	Spain	2019	Soil	medium
year2019_soil_P29_adaptertrimmed_Pythium_R1.fastq	P19_L29	Spain	2019	Soil	medium
year2019_soil_P30_adaptertrimmed_Pythium_R1.fastq	P19_L30	Spain	2019	Soil	medium
year2019_soil_P31_adaptertrimmed_Pythium_R1.fastq	P19_L31	Spain	2019	Soil	medium
year2019_soil_P32_adaptertrimmed_Pythium_R1.fastq	P19_L32	Romania	2019	Soil	heavy
year2019_soil_P33_adaptertrimmed_Pythium_R1.fastq	P19_L33	Romania	2019	Soil	heavy
year2019_soil_P34_adaptertrimmed_Pythium_R1.fastq	P19_L34	Romania	2019	Soil	heavy
year2019_soil_P35_adaptertrimmed_Pythium_R1.fastq	P19_L35	Romania	2019	Soil	heavy
year2019_soil_P36_adaptertrimmed_Pythium_R1.fastq	P19_L36	Romania	2019	Soil	heavy
year2019_soil_P37_adaptertrimmed_Pythium_R1.fastq	P19_L37	Hungary	2019	Soil	heavy
year2019_soil_P38_adaptertrimmed_Pythium_R1.fastq	P19_L38	Hungary	2019	Soil	heavy
year2019_soil_P39_adaptertrimmed_Pythium_R1.fastq	P19_L39	Hungary	2019	Soil	medium
year2019_soil_P40_adaptertrimmed_Pythium_R1.fastq	P19_L40	Hungary	2019	Soil	medium
year2019_soil_P41_adaptertrimmed_Pythium_R1.fastq	P19_L41	Hungary	2019	Soil	medium
year2019_soil_P42_adaptertrimmed_Pythium_R1.fastq	P19_L42	Austria	2019	Soil	medium
year2019_soil_P43_adaptertrimmed_Pythium_R1.fastq	P19_L43	Austria	2019	Soil	medium
year2019_soil_P44_adaptertrimmed_Pythium_R1.fastq	P19_L44	Switzerland	2019	Soil	light
year2019_soil_P45_adaptertrimmed_Pythium_R1.fastq	P19_L45	Switzerland	2019	Soil	medium
year2020_soil_P1_adaptertrimmed_Pythium_R1.fastq	P20_L01	France	2020	Soil	light
year2020_soil_P2_adaptertrimmed_Pythium_R1.fastq	P20_L02	France	2020	Soil	medium
year2020_soil_P3_adaptertrimmed_Pythium_R1.fastq	P20_L03	France	2020	Soil	medium
year2020_soil_P4_adaptertrimmed_Pythium_R1.fastq	P20_L04	France	2020	Soil	heavy
year2020_soil_P5_adaptertrimmed_Pythium_R1.fastq	P20_L05	France	2020	Soil	light
year2020_soil_P6_adaptertrimmed_Pythium_R1.fastq	P20_L06	Italy	2020	Soil	medium
year2020_soil_P7_adaptertrimmed_Pythium_R1.fastq	P20_L07	Italy	2020	Soil	medium
year2020_soil_P8_adaptertrimmed_Pythium_R1.fastq	P20_L08	Italy	2020	Soil	medium
year2020_soil_P9_adaptertrimmed_Pythium_R1.fastq	P20_L09	Italy	2020	Soil	medium
year2020_soil_P10_adaptertrimmed_Pythium_R1.fastq	P20_L10	Italy	2020	Soil	heavy
year2020_soil_P13_adaptertrimmed_Pythium_R1.fastq	P20_L13	Germany	2020	Soil	light
year2020_soil_P14_adaptertrimmed_Pythium_R1.fastq	P20_L14	Germany	2020	Soil	light
year2020_soil_P15_adaptertrimmed_Pythium_R1.fastq	P20_L15	Germany	2020	Soil	medium
year2020_soil_P16_adaptertrimmed_Pythium_R1.fastq	P20_L16	Germany	2020	Soil	light
year2020_soil_P17_adaptertrimmed_Pythium_R1.fastq	P20_L17	Germany	2020	Soil	medium
year2020_soil_P19_adaptertrimmed_Pythium_R1.fastq	P20_L19	Germany	2020	Soil	medium
year2020_soil_P20_adaptertrimmed_Pythium_R1.fastq	P20_L20	Germany	2020	Soil	light
year2020_soil_P24_adaptertrimmed_Pythium_R1.fastq	P20_L24	Belgium	2020	Soil	light
year2020_soil_P25_adaptertrimmed_Pythium_R1.fastq	P20_L25	Belgium	2020	Soil	light
year2020_soil_P26_adaptertrimmed_Pythium_R1.fastq	P20_L26	Belgium	2020	Soil	light
year2020_soil_P27_adaptertrimmed_Pythium_R1.fastq	P20_L27	Spain	2020	Soil	medium
year2020_soil_P28_adaptertrimmed_Pythium_R1.fastq	P20_L28	Spain	2020	Soil	medium
year2020_soil_P29_adaptertrimmed_Pythium_R1.fastq	P20_L29	Spain	2020	Soil	light
year2020_soil_P30_adaptertrimmed_Pythium_R1.fastq	P20_L30	Spain	2020	Soil	medium
year2020_soil_P31_adaptertrimmed_Pythium_R1.fastq	P20_L31	Spain	2020	Soil	medium
year2020_soil_P32_adaptertrimmed_Pythium_R1.fastq	P20_L32	Romania	2020	Soil	heavy
year2020_soil_P33_adaptertrimmed_Pythium_R1.fastq	P20_L33	Romania	2020	Soil	heavy
year2020_soil_P34_adaptertrimmed_Pythium_R1.fastq	P20_L34	Romania	2020	Soil	heavy
year2020_soil_P36_adaptertrimmed_Pythium_R1.fastq	P20_L36	Romania	2020	Soil	heavy
year2020_soil_P37_adaptertrimmed_Pythium_R1.fastq	P20_L37	Hungary	2020	Soil	heavy
year2020_soil_P38_adaptertrimmed_Pythium_R1.fastq	P20_L38	Hungary	2020	Soil	heavy
year2020_soil_P39_adaptertrimmed_Pythium_R1.fastq	P20_L39	Hungary	2020	Soil	heavy
year2020_soil_P40_adaptertrimmed_Pythium_R1.fastq	P20_L40	Hungary	2020	Soil	heavy
year2020_soil_P41_adaptertrimmed_Pythium_R1.fastq	P20_L41	Hungary	2020	Soil	heavy
year2020_soil_P42_adaptertrimmed_Pythium_R1.fastq	P20_L42	Austria	2020	Soil	light
year2020_soil_P43_adaptertrimmed_Pythium_R1.fastq	P20_L43	Austria	2020	Soil	medium
year2020_soil_P44_adaptertrimmed_Pythium_R1.fastq	P20_L44	Switzerland	2020	Soil	light
year2020_soil_P45_adaptertrimmed_Pythium_R1.fastq	P20_L45	Switzerland	2020	Soil	medium
year2021_soil_P1_adaptertrimmed_Pythium_R1.fastq	P21_L01	France	2021	Soil	light
year2021_soil_P6_adaptertrimmed_Pythium_R1.fastq	P21_L06	Italy	2021	Soil	heavy
year2021_soil_P7_adaptertrimmed_Pythium_R1.fastq	P21_L07	Italy	2021	Soil	heavy
year2021_soil_P8_adaptertrimmed_Pythium_R1.fastq	P21_L08	Italy	2021	Soil	heavy
year2021_soil_P9_adaptertrimmed_Pythium_R1.fastq	P21_L09	Italy	2021	Soil	heavy
year2021_soil_P10_adaptertrimmed_Pythium_R1.fastq	P21_L10	Italy	2021	Soil	medium
year2021_soil_P11_adaptertrimmed_Pythium_R1.fastq	P21_L11	Belgium	2021	Soil	medium
year2021_soil_P12_adaptertrimmed_Pythium_R1.fastq	P21_L12	Belgium	2021	Soil	medium
year2021_soil_P13_adaptertrimmed_Pythium_R1.fastq	P21_L13	Germany	2021	Soil	heavy
year2021_soil_P14_adaptertrimmed_Pythium_R1.fastq	P21_L14	Germany	2021	Soil	light
year2021_soil_P15_adaptertrimmed_Pythium_R1.fastq	P21_L15	Germany	2021	Soil	medium
year2021_soil_P16_adaptertrimmed_Pythium_R1.fastq	P21_L16	Germany	2021	Soil	light
year2021_soil_P17_adaptertrimmed_Pythium_R1.fastq	P21_L17	Germany	2021	Soil	medium
year2021_soil_P18_adaptertrimmed_Pythium_R1.fastq	P21_L18	Germany	2021	Soil	light
year2021_soil_P19_adaptertrimmed_Pythium_R1.fastq	P21_L19	Germany	2021	Soil	medium
year2021_soil_P20_adaptertrimmed_Pythium_R1.fastq	P21_L20	Germany	2021	Soil	medium
year2021_soil_P21_adaptertrimmed_Pythium_R1.fastq	P21_L21	Netherland	2021	Soil	medium
year2021_soil_P22_adaptertrimmed_Pythium_R1.fastq	P21_L22	Belgium	2021	Soil	medium
year2021_soil_P23_adaptertrimmed_Pythium_R1.fastq	P21_L23	Netherland	2021	Soil	medium
year2021_soil_P24_adaptertrimmed_Pythium_R1.fastq	P21_L24	Belgium	2021	Soil	medium
year2021_soil_P25_adaptertrimmed_Pythium_R1.fastq	P21_L25	Belgium	2021	Soil	medium
year2021_soil_P26_adaptertrimmed_Pythium_R1.fastq	P21_L26	France	2021	Soil	medium
year2021_soil_P27_adaptertrimmed_Pythium_R1.fastq	P21_L27	Spain	2021	Soil	medium
year2021_soil_P28_adaptertrimmed_Pythium_R1.fastq	P21_L28	Spain	2021	Soil	medium
year2021_soil_P29_adaptertrimmed_Pythium_R1.fastq	P21_L29	Spain	2021	Soil	medium
year2021_soil_P30_adaptertrimmed_Pythium_R1.fastq	P21_L30	Spain	2021	Soil	heavy
year2021_soil_P31_adaptertrimmed_Pythium_R1.fastq	P21_L31	Spain	2021	Soil	heavy
year2021_soil_P32_adaptertrimmed_Pythium_R1.fastq	P21_L32	Romania	2021	Soil	medium
year2021_soil_P33_adaptertrimmed_Pythium_R1.fastq	P21_L33	Romania	2021	Soil	heavy
year2021_soil_P34_adaptertrimmed_Pythium_R1.fastq	P21_L34	Romania	2021	Soil	medium
year2021_soil_P35_adaptertrimmed_Pythium_R1.fastq	P21_L35	Romania	2021	Soil	heavy
year2021_soil_P36_adaptertrimmed_Pythium_R1.fastq	P21_L36	Romania	2021	Soil	heavy
year2021_soil_P37_adaptertrimmed_Pythium_R1.fastq	P21_L37	Hungary	2021	Soil	heavy
year2021_soil_P38_adaptertrimmed_Pythium_R1.fastq	P21_L38	Hungary	2021	Soil	heavy
year2021_soil_P39_adaptertrimmed_Pythium_R1.fastq	P21_L39	Hungary	2021	Soil	heavy
year2021_soil_P40_adaptertrimmed_Pythium_R1.fastq	P21_L40	Hungary	2021	Soil	heavy
year2021_soil_P41_adaptertrimmed_Pythium_R1.fastq	P21_L41	Hungary	2021	Soil	heavy
year2021_soil_P42_adaptertrimmed_Pythium_R1.fastq	P21_L42	Austria	2021	Soil	medium
year2021_soil_P43_adaptertrimmed_Pythium_R1.fastq	P21_L43	Austria	2021	Soil	heavy
year2021_soil_P44_adaptertrimmed_Pythium_R1.fastq	P21_L44	Switzerland	2021	Soil	heavy
year2021_soil_P45_adaptertrimmed_Pythium_R1.fastq	P21_L45	Switzerland	2021	Soil	light
year2021_soil_P46_adaptertrimmed_Pythium_R1.fastq	P21_L46	Czech_republic	2021	Soil	light
year2021_soil_P48_adaptertrimmed_Pythium_R1.fastq	P21_L48	Germany	2021	Soil	heavy
year2021_soil_P49_adaptertrimmed_Pythium_R1.fastq	P21_L49	Germany	2021	Soil	heavy
year2019_bait_P1_adaptertrimmed_Pythium_R1.fastq	P19_L01	France	2019	Bait	light
year2019_bait_P2_adaptertrimmed_Pythium_R1.fastq	P19_L02	France	2019	Bait	heavy
year2019_bait_P3_adaptertrimmed_Pythium_R1.fastq	P19_L03	France	2019	Bait	medium
year2019_bait_P4_adaptertrimmed_Pythium_R1.fastq	P19_L04	France	2019	Bait	medium
year2019_bait_P5_adaptertrimmed_Pythium_R1.fastq	P19_L05	France	2019	Bait	light
year2019_bait_P6_adaptertrimmed_Pythium_R1.fastq	P19_L06	Italy	2019	Bait	light
year2019_bait_P7_adaptertrimmed_Pythium_R1.fastq	P19_L07	Italy	2019	Bait	medium
year2019_bait_P8_adaptertrimmed_Pythium_R1.fastq	P19_L08	Italy	2019	Bait	medium
year2019_bait_P9_adaptertrimmed_Pythium_R1.fastq	P19_L09	Italy	2019	Bait	medium
year2019_bait_P10_adaptertrimmed_Pythium_R1.fastq	P19_L10	Italy	2019	Bait	medium
year2019_bait_P11_adaptertrimmed_Pythium_R1.fastq	P19_L11	Germany	2019	Bait	medium
year2019_bait_P12_adaptertrimmed_Pythium_R1.fastq	P19_L12	Germany	2019	Bait	medium
year2019_bait_P13_adaptertrimmed_Pythium_R1.fastq	P19_L13	Germany	2019	Bait	light
year2019_bait_P14_adaptertrimmed_Pythium_R1.fastq	P19_L14	Germany	2019	Bait	light
year2019_bait_P15_adaptertrimmed_Pythium_R1.fastq	P19_L15	Germany	2019	Bait	medium
year2019_bait_P16_adaptertrimmed_Pythium_R1.fastq	P19_L16	Germany	2019	Bait	light
year2019_bait_P17_adaptertrimmed_Pythium_R1.fastq	P19_L17	Germany	2019	Bait	medium
year2019_bait_P18_adaptertrimmed_Pythium_R1.fastq	P19_L18	Germany	2019	Bait	medium
year2019_bait_P19_adaptertrimmed_Pythium_R1.fastq	P19_L19	Germany	2019	Bait	medium
year2019_bait_P20_adaptertrimmed_Pythium_R1.fastq	P19_L20	Germany	2019	Bait	light
year2019_bait_P21_adaptertrimmed_Pythium_R1.fastq	P19_L21	Netherland	2019	Bait	light
year2019_bait_P22_adaptertrimmed_Pythium_R1.fastq	P19_L22	Netherland	2019	Bait	light
year2019_bait_P23_adaptertrimmed_Pythium_R1.fastq	P19_L23	Belgium	2019	Bait	light
year2019_bait_P24_adaptertrimmed_Pythium_R1.fastq	P19_L24	Belgium	2019	Bait	medium
year2019_bait_P25_adaptertrimmed_Pythium_R1.fastq	P19_L25	Belgium	2019	Bait	medium
year2019_bait_P26_adaptertrimmed_Pythium_R1.fastq	P19_L26	Belgium	2019	Bait	medium
year2019_bait_P27_adaptertrimmed_Pythium_R1.fastq	P19_L27	Spain	2019	Bait	medium
