Id	s__sylvaticum	s__heterothallicum	s__okanoganense	s__violae	s__arrhenomanes	s__jasmonium	s__insidiosum	s__splendens	s__myriotylum	s__junctum	s__aphanidermatum	s__flevoense	s__coloratum	s__dissotocum	s__aff_dissotocom	s__pachycaule	s__pyrilobum	s__aristosporum	s__voltum	s__aff_volutum	s__volutum	s__graminicola	s__inflatum	s__biforme	s__angustatum	s__torulosum	s__catenulatum	s__afertile	s__dissimile	s__aff_monospermum	s__vanterpoolii	s__tracheiphilum	s__conidiophorum	s__monospermum	s__chondricola	s__adhaerens	s__oligandrum	s__acanthicum	s__grandisporangium	s__orthogonon	s__nunn	s__perplexum	s__megacarpum	s__litorale	s__chamaehyphon	s__vexans	s__buismaniae	s__selbyi	s__echinulatum	s__erinaceum	s__apiculatum	s__parvum	s__sp	s__aff_pleroticum	s__minus	s__rhizosaccharum	s__takayamanum	s__middletonii	s__ultimum	s__camurandrum	s__rostratifingens	s__intermedium	s__attrantheridium	s__aff_macrosporum	s__spinosum	s__spiculum	s__mamillatum	s__irregulare	s__paroecandrum
pmOomyceten2_BD_S40_L001_adaptertrimmed_Pythium_2020_R1.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
year2019_soil_P1_adaptertrimmed_Pythium_2019_R1.fastq	164	1420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	22	23	32	0	0	0	0	0	0
year2019_soil_P10_adaptertrimmed_Pythium_2019_R1.fastq	149	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	1162	0	0	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	30	0	0	19	0	0	0	0	2069	0	0	0	0	0	0
year2019_soil_P11_adaptertrimmed_Pythium_2019_R1.fastq	10	519	0	0	516	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	154	0	0	0	0	0	314	0	0	19	302	0	0	0	0	0	0
year2019_soil_P12_adaptertrimmed_Pythium_2019_R1.fastq	34	8190	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	21	0	0	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	108	0	0	0	0	0	76	119	701	0	0	0	0	0	0
year2019_soil_P13_adaptertrimmed_Pythium_2019_R1.fastq	36	5513	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	22	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467	0	192	0	0	0	0	0	25	152	950	0	0	0	0	0	0
year2019_soil_P14_adaptertrimmed_Pythium_2019_R1.fastq	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591	380	4247	1920	0	0	0	0	0	0	0	0	0	16	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	54	0	260	0	0	0	0	126	0
year2019_soil_P15_adaptertrimmed_Pythium_2019_R1.fastq	52	424	0	0	0	0	0	0	362	0	0	0	0	0	0	0	0	0	0	861	2336	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	1172	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	41	0	0	0	0	0	601	0	38	17	472	0	0	0	0	165	0
year2019_soil_P16_adaptertrimmed_Pythium_2019_R1.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	54	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
year2019_soil_P17_adaptertrimmed_Pythium_2019_R1.fastq	321	1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	721	0	515	0	0	0	0	0	0	0	864	0	0	0	0	0	0
year2019_soil_P18_adaptertrimmed_Pythium_2019_R1.fastq	0	288	0	0	91	0	0	0	171	0	0	0	0	0	0	0	0	4627	0	0	257	0	0	0	0	0	0	0	0	88	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	32	42	0	0	0	0	0	0
year2019_soil_P19_adaptertrimmed_Pythium_2019_R1.fastq	276	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	148	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	86	575	0	0	0	0	0	0
year2019_soil_P2_adaptertrimmed_Pythium_2019_R1.fastq	0	2370	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	10091	0	0	0	485	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	3	778	0	0	0	0	0	0
year2019_soil_P20_adaptertrimmed_Pythium_2019_R1.fastq	198	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	846	0	0	0	0	0	0	0	0	0	0	0	28	0	0	323	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	294	0	89	0	42	0	0	0	0	0	0
year2019_soil_P21_adaptertrimmed_Pythium_2019_R1.fastq	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	2383	0	12	0	0	0	0	0	0	0	0
year2019_soil_P22_adaptertrimmed_Pythium_2019_R1.fastq	38	0	0	0	0	13	0	0	0	0	0	0	187	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	180	0
year2019_soil_P23_adaptertrimmed_Pythium_2019_R1.fastq	56	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	483	0	0	0	0	0	0	0	0	0	0
