Id	Globisporangium sylvaticum	Globisporangium spiculum	Globisporangium mamillatum	Globisporangium paroecandrum	Globisporangium irregulare	Globisporangium spinosum	Globisporangium heterothallicum	Globisporangium glomeratum	Globisporangium orthogonon	Globisporangium nunn	Globisporangium nodosum	Globisporangium perplexum	Phytopythium boreale	Phytopythium litorale	Phytopythium vexans	Globisporangium emineosum	Globisporangium aff._polymastum	Globisporangium jasmonium	Pythium insidiosum	Pythium monospermum	Pythium aphanidermatum	Pythium pectinolyticum	Pythium vanterpoolii	Pythium tracheiphilum	Pythium conidiophorum	Pythium aff._periilum	Pythium arrhenomanes	Pythium aff._volutum	Pythium volutum	Pythium inflatum	Pythium folliculosum	Pythium angustatum	Pythium aff._torulosum	Pythium catenulatum	Pythium afertile	Pythium kashmirense	Pythium pyrilobum	Pythium pachycaule	Pythium dissimile	Pythium chondricola	Pythium adhaerens	Pythium myriotylum	Pythium grandisporangium	Pythium lycopersicum	Pythium acanthicum	Pythium aff._hydnosporum	Pythium periplocum	Globisporangium nagaii	Globisporangium okanoganense	Globisporangium ultimum_var._ultimum	Globisporangium ultimum	Globisporangium camurandrum	Globisporangium rostratifingens	Globisporangium longandrum	Globisporangium acrogynum	Globisporangium carolinianum	Globisporangium papilogynum	Globisporangium erinaceus	Globisporangium radiosum	Globisporangium apiculatum	Globisporangium middletonii	Globisporangium rhizosaccharum	Globisporangium parvum	Globisporangium minus	Globisporangium aff._pleroticum	Globisporangium pleroticum	Globisporangium takayamanum	Globisporangium attrantheridium	Globisporangium intermedium	Pythium sp._nov	Globisporangium debaryanum	Globisporangium lucens	Globisporangium terrestris	Location	Country	Year	Compartment	Soilweight
year2019_soil_P1_adaptertrimmed_Pythium_R1.fastq	0.0983213429256595	0	0	0	0	0	0.851318944844125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013189448441247	0	0	0	0	0	0	0.00419664268585132	0	0	0	0	0	0	0	0.0191846522781775	0.01378896882494	0	0	0	0	P19_L01	France	2019	Soil	light
year2019_soil_P10_adaptertrimmed_Pythium_R1.fastq	0.0315544260906396	0	0	0	0	0	0.095722151630665	0	0	0	0	0	0	0	0	0	0	0	0	0.246082168572639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182126217704363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00635324015247776	0	0.438161795849216	0	0	0	0	0	P19_L10	Italy	2019	Soil	medium
year2019_soil_P11_adaptertrimmed_Pythium_R1.fastq	0.00411861614497529	0	0	0	0	0	0.213756177924217	0	0	0	0	0	0	0	0	0	0	0	0	0.191927512355848	0	0	0	0	0	0	0.230230642504119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129324546952224	0	0	0	0	0	0	0	0	0	0.0350082372322899	0	0	0	0.00247116968698517	0	0	0	0.124382207578254	0.00782537067545305	0.0609555189456343	0	0	0	P19_L11	Germany	2019	Soil	medium
year2019_soil_P12_adaptertrimmed_Pythium_R1.fastq	0.00340102030609183	0	0	0	0	0	0.81924577373212	0	0	0	0	0	0	0	0	0	0	0	0	0.00210063018905672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212063619085726	0	0	0	0.0382114634390317	0	0	0	0	0	0	0.00760228068420526	0	0	0	0	0	0	0	0	0	0	0.0154046213864159	0	0.0108032409722917	0	0.0701210363108933	0.0119035710713214	0	0	0	0	P19_L12	Germany	2019	Soil	medium
year2019_soil_P13_adaptertrimmed_Pythium_R1.fastq	0.00491937687892867	0	0	0	0	0	0.753347909264826	0	0	0	0	0	0	0	0	0	0	0	0	0.00300628587045641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01448483192129	0	0	0	0.0225471440284231	0	0	0	0	0	0	0.00341623394370046	0	0	0	0	0	0	0	0	0	0	0.0214539491664389	0	0.0262366766876196	0	0.129816889860618	0.0207707023776988	0	0	0	0	P19_L13	Germany	2019	Soil	light
year2019_soil_P14_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0.00231006160164271	0	0	0	0	0	0	0	0	0	0	0	0	0.00577515400410678	0	0	0.00205338809034908	0	0	0	0.075847022587269	0.611139630390144	0.246406570841889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00693018480492813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333675564681725	0	0.0150154004106776	0	0.00115503080082136	0	P19_L14	Germany	2019	Soil	light
year2019_soil_P15_adaptertrimmed_Pythium_R1.fastq	0.00804331013147718	0	0	0	0.0255220417633411	0	0.065583913379737	0.00355761794276875	0	0	0	0	0	0	0	0	0	0	0	0.0267594740912606	0	0	0	0	0	0	0	0.42877030162413	0.065738592420727	0	0	0	0	0	0	0	0	0	0	0	0	0.014230471771075	0	0	0	0.181283836040217	0	0	0	0.0929621036349575	0	0	0.00587780355761794	0	0	0.00278422273781903	0	0	0	0.00324825986078886	0	0	0	0	0	0	0	0.0730085073472544	0.00262954369682908	0	0	0	0	P19_L15	Germany	2019	Soil	medium
year2019_soil_P16_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236842105263158	0.113684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.641052631578947	0	0	0	0	0	0	0.00842105263157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P19_L16	Germany	2019	Soil	light
year2019_soil_P17_adaptertrimmed_Pythium_R1.fastq	0.0832684824902724	0	0	0	0	0	0.336705577172503	0	0	0	0	0	0	0	0	0	0	0	0	0.0264591439688716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00881971465629053	0	0	0	0.187029831387808	0	0.133592736705577	0	0.224124513618677	0	0	0	0	0	P19_L17	Germany	2019	Soil	medium
year2019_soil_P18_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0.0516684607104413	0	0	0	0	0	0	0	0	0	0	0	0	0.0175816289917474	0	0	0	0	0	0	0.84642985288841	0.0461069250089702	0	0	0	0	0	0	0	0	0	0	0.0249372084678866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00753498385360603	0.00574094007893793	0	0	0	0	P19_L18	Germany	2019	Soil	medium
year2019_soil_P19_adaptertrimmed_Pythium_R1.fastq	0.140030441400304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037037037037037	0	0	0	0	0	0	0.0750887874175545	0	0.0268899036022324	0	0	0	0	0	0	0	0	0	0	0	0	0.00253678335870117	0	0	0	0.382039573820396	0	0	0	0	0	0	0.00101471334348047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.291730086250634	0.0436326737696601	0	0	0	0	P19_L19	Germany	2019	Soil	medium
year2019_soil_P2_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0.620906471050563	0	0	0	0	0	0	0	0	0	0	0	0	0.127063138590516	0	0	0	0	0	0	0	0.0128373067854336	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00864553314121038	0	0	0	0.0275085145402148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20225307833377	0.000785957558291852	0	0	0	0	P19_L02	France	2019	Soil	heavy
year2019_soil_P20_adaptertrimmed_Pythium_R1.fastq	0.102857142857143	0	0	0	0	0	0.0451948051948052	0	0	0	0	0	0	0	0	0	0	0	0	0.00311688311688312	0	0	0	0	0.167792207792208	0	0.439480519480519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152727272727273	0	0	0.0462337662337662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0218181818181818	0	0.0207792207792208	0	0	0	P19_L20	Germany	2019	Soil	light
year2019_soil_P21_adaptertrimmed_Pythium_R1.fastq	0.00461975835110163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0867093105899076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83226723525231	0.0145700071073205	0	0.00426439232409382	0	0	0	0	0	0	0.0575692963752665	0	0	0	0	0	0	0	0	0	0	0	0	0	P19_L21	Netherland	2019	Soil	light
year2019_soil_P22_adaptertrimmed_Pythium_R1.fastq	0.0332458442694663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113735783027122	0	0.0384951881014873	0	0	0	0	0	0	0	0	0.207349081364829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.244969378827647	0.10411198600175	0	0	0	0	0	0	0	0	0.188101487314086	0	0	0	0	0	0	0	0	0	0.172353455818023	0	0	0	P19_L22	Netherland	2019	Soil	light
year2019_soil_P23_adaptertrimmed_Pythium_R1.fastq	0.0637087599544937	0	0	0	0	0	0.286689419795222	0	0	0	0	0	0	0	0	0	0	0	0	0.0193401592718999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.549488054607508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.080773606370876	0	0	0	P19_L23	Belgium	2019	Soil	light
year2019_soil_P24_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0.00805369127516779	0	0	0	0	0	0	0	0	0	0	0	0	0.158389261744966	0	0	0	0	0	0	0.14496644295302	0	0	0	0	0	0	0	0	0	0.354362416107383	0	0	0	0	0	0	0	0.076510067114094	0	0	0	0	0.159731543624161	0	0	0.0187919463087248	0	0	0	0	0	0	0.0630872483221477	0	0	0	0	0	0	0	0	0.0161073825503356	0	0	0	0	P19_L24	Belgium	2019	Soil	medium
year2019_soil_P25_adaptertrimmed_Pythium_R1.fastq	0.0372736954206603	0	0	0	0	0.0745473908413206	0.00425985090521832	0	0	0	0	0	0.00319488817891374	0	0	0	0	0.00638977635782748	0	0	0	0	0	0.0905218317358892	0	0	0.0756123535676251	0	0	0.164004259850905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124600638977636	0	0	0	0.391906283280085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0276890308839191	0	0	0	0	0	P19_L25	Belgium	2019	Soil	medium
year2019_soil_P26_adaptertrimmed_Pythium_R1.fastq	0.153539381854437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0149551345962114	0	0	0	0.0109670987038883	0	0	0	0	0	0	0	0	0	0.0139581256231306	0	0	0	0	0	0	0	0.0558325024925224	0	0	0	0.36889332003988	0	0.0069790628115653	0.138085742771685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23678963110668	0	0	0	0	0	P19_L26	Belgium	2019	Soil	medium
year2019_soil_P27_adaptertrimmed_Pythium_R1.fastq	0.0198019801980198	0	0	0	0	0	0.0264026402640264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280528052805281	0	0	0	0	0	0.455445544554455	0	0	0	0	0	0	0	0	0	0	0	0	0.217821782178218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P19_L27	Spain	2019	Soil	medium
year2019_soil_P28_adaptertrimmed_Pythium_R1.fastq	0.025615763546798	0	0	0	0.0896551724137931	0	0	0.153694581280788	0	0	0	0	0	0	0	0	0	0	0	0	0.152709359605911	0	0	0	0	0	0.038423645320197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.190147783251232	0	0	0	0	0	0.00591133004926108	0	0.00788177339901478	0	0	0	0	0	0	0	0	0	0	0	0	0	0.335960591133005	0	0	0	0	0	P19_L28	Spain	2019	Soil	medium
year2019_soil_P29_adaptertrimmed_Pythium_R1.fastq	0.0321469575200918	0	0	0	0	0.0757749712973594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0700344431687715	0	0	0.427095292766935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228473019517796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166475315729047	0	0	0	0	0	P19_L29	Spain	2019	Soil	medium
year2019_soil_P3_adaptertrimmed_Pythium_R1.fastq	0.0113475177304965	0	0	0	0	0	0.176359338061466	0	0	0	0	0	0	0	0	0	0	0	0	0.0789598108747045	0	0	0.0066193853427896	0	0	0	0	0.167375886524823	0.234988179669031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113475177304965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.303073286052009	0.0099290780141844	0	0	0	0	P19_L03	France	2019	Soil	medium
year2019_soil_P30_adaptertrimmed_Pythium_R1.fastq	0.148148148148148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.267489711934156	0	0	0	0	0	0	0.349794238683128	0	0	0	0.152263374485597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065843621399177	0.0164609053497942	0	0	0	0	P19_L30	Spain	2019	Soil	medium
