id	mpH_CaCl2	mpH_H2O	mEC	mOC	mN	mP	mK
P19_L01	6.3	6.778	11.166	15.2	1.88	39.94	202.98
P19_L02	6.32	6.724	10.172	9.98	1.2	19.36	149.42
P19_L03	6.9	7.394	13.896	11.7	1.34	38.92	195.44
P19_L04	7.16	7.586	18.09	13.22	1.66	55.68	274.28
P19_L05	6.46	6.944	11.654	12.42	1.48	45.1	174.8
P19_L06	6.58	7.076	14.978	14.3	1.74	78.32	297.44
P19_L07	6.26	6.63	23.146	20.8	2.36	37.7	267.82
P19_L08	6.22	6.568	32.558	16.76	2.2	52.72	230.18
P19_L09	5.98	6.324	20.824	15.28	1.8	31.64	218.44
P19_L10	7.18	7.582	23.93	24.4	2.18	NA	452.84
P19_L11	6.54	7.016	14.69	16.02	1.76	33.48	186.96
P19_L12	6.06	6.504	20.736	19.92	1.86	77.94	244.78
P19_L13	5.94	6.542	11.678	13.84	1.4	80.22	176.12
P19_L14	5.44	6.142	7.656	13.1	1.2	89.7	118.06
P19_L15	6.32	6.756	17.952	19.32	1.66	36.74	268.8
P19_L16	5.54	6.08	13.8	13.16	1.3	57.18	115.74
P19_L17	6.74	7.344	17.822	23.4	1.84	35.9	216
P19_L18	7.06	7.678	19.708	17.98	1.84	40.7	386.2
P19_L19	6.84	7.286	12.79	11.54	1.38	38.34	153.3
P19_L20	5.8	6.346	11.768	23.5	1.98	76.14	150.9
P19_L21	6.66	7.244	18.218	19.02	1.84	87.34	178.34
P19_L22	6.66	7.244	18.218	19.02	1.84	87.34	178.34
P19_L23	6.24	6.802	17.27	10.04	1.2	114.04	188.42
P19_L24	6.38	6.992	15.18	11.2	1.32	108.1	161.12
P19_L25	6.46	7.002	18.088	10.32	1.24	115.72	201.22
P19_L26	6.42	7	15.012	10.6	1.24	100.1	166.5
P19_L27	6.96	7.506	13.706	13.7	1.6	43.24	223.44
P19_L28	7.42	7.952	22.862	19.66	1.74	53.3	319.66
P19_L29	4.82	5.42	19.222	54.9	4.46	48.82	310.98
P19_L30	5.44	6.114	10.954	5.44	0.72	38.02	99.52
P19_L31	5.24	5.54	28.642	39.58	3.7	NA	183.9
P19_L32	5.38	6.066	7.616	18.6	1.62	30.58	257.66
P19_L33	6.4	7.156	11.026	21.46	2.04	NA	260.1
P19_L34	4.62	5.23	10.022	14.36	1.56	29.2	168.88
P19_L35	6.84	7.258	13.336	19.7	1.9	21.9	277.22
P19_L36	6.52	6.82	27.27	20.8	2.14	16.28	231.28
P19_L37	6.92	7.56	11.784	25.54	2.48	42.28	334.96
P19_L38	7.24	7.764	13.458	18.62	1.72	NA	185.68
P19_L39	6.84	7.374	13.682	16.56	1.78	53.38	306.92
P19_L40	7.1	7.682	18.87	28.8	2.36	NA	300.94
P19_L41	7.48	8.012	26.934	19.82	1.72	NA	206.4
P19_L42	6.52	7.068	22.758	19.38	2.2	87.48	372.52
P19_L43	5.88	6.354	19.186	15.4	1.96	34.22	146.42
P19_L44	6.92	7.482	12.71	14	1.7	37.26	193.92
P19_L45	7.08	7.492	18.99	23.84	2.72	NA	137.86
P20_L01	6.3	6.778	11.166	15.2	1.88	39.94	202.98
P20_L02	6.22	6.644	11.228	9.98	1.22	NA	175.4
P20_L03	7.04	7.35	21.848	12.06	1.62	64.02	233.18
P20_L04	7.18	7.71	14.452	19.06	2.02	43.8	394.82
P20_L05	6.7	7.052	11.7	12.6	1.46	43.96	146.86
P20_L06	5.86	6.202	37.502	20.08	2.52	43.36	237.14
P20_L07	6.26	6.63	23.146	20.8	2.36	37.7	267.82
P20_L08	5.6	5.904	18.304	14.6	1.74	31.78	162.88
P20_L09	7.18	7.582	23.93	24.4	2.18	NA	452.84
P20_L10	7.18	7.582	23.93	24.4	2.18	NA	452.84
P20_L13	5.94	6.542	11.678	13.84	1.4	80.22	176.12
P20_L14	5.44	6.142	7.656	13.1	1.2	89.7	118.06
P20_L15	6.32	6.756	17.952	19.32	1.66	36.74	268.8
P20_L16	5.54	6.08	13.8	13.16	1.3	57.18	115.74
P20_L17	6.74	7.344	17.822	23.4	1.84	35.9	216
P20_L19	6.84	7.286	12.79	11.54	1.38	38.34	153.3
P20_L20	5.82	6.362	9.206	14.92	1.42	59.96	137.56
P20_L24	6.4	6.986	17.476	11.06	1.32	110.7	174.16
P20_L25	6.38	6.992	15.18	11.2	1.32	108.1	161.12
P20_L26	6.24	6.802	17.27	10.04	1.2	114.04	188.42
P20_L27	6.96	7.506	13.706	13.7	1.6	43.24	223.44
P20_L28	7.42	7.952	22.862	19.66	1.74	53.3	319.66
P20_L29	4.82	5.42	19.222	54.9	4.46	48.82	310.98
P20_L30	5.16	5.822	10.518	5.48	0.72	39.24	114.5
P20_L31	5.24	5.54	28.642	39.58	3.7	NA	183.9
P20_L32	6.24	6.722	24.16	42.44	2.26	NA	237.08
P20_L33	6.66	7.158	15.046	17.24	1.84	NA	198.9
P20_L34	6.08	6.52	9.316	14.1	1.5	8.36	180.2
P20_L36	5.14	5.734	13.694	15.12	1.66	NA	160.98
P20_L37	6.92	7.56	11.784	25.54	2.48	42.28	334.96
P20_L38	7.1	7.682	18.87	28.8	2.36	NA	300.94
P20_L39	6.98	7.528	17.962	14.16	1.44	NA	214.52
P20_L40	6.44	6.978	15.522	16.46	1.74	62.76	279.34
P20_L41	7.48	8.012	26.934	19.82	1.72	NA	206.4
P20_L42	6.28	6.72	18.406	20.8	2.4	46.32	205.24
P20_L43	5.88	6.354	19.186	15.4	1.96	34.22	146.42
P20_L44	6.4	6.864	12.69	16.72	2.12	43.06	205.66
P20_L45	7.08	7.492	18.99	23.84	2.72	NA	137.86
P21_L01	6.3	6.778	11.166	15.2	1.88	39.94	202.98
P21_L06	5.6	5.904	18.304	14.6	1.74	31.78	162.88
P21_L07	5.74	6.07	18.212	15.2	1.78	34.2	207.62
P21_L08	5.86	6.202	37.502	20.08	2.52	43.36	237.14
P21_L09	5.84	6.168	31.368	20.86	2.48	NA	278.96
P21_L10	7.18	7.582	23.93	24.4	2.18	NA	452.84
P21_L11	6.38	6.992	15.18	11.2	1.32	108.1	161.12
P21_L12	6.38	6.992	15.18	11.2	1.32	108.1	161.12
P21_L13	5.94	6.542	11.678	13.84	1.4	80.22	176.12
P21_L14	5.44	6.142	7.656	13.1	1.2	89.7	118.06
P21_L15	6.38	6.878	13.946	11.46	1.28	43.16	146.16
P21_L16	5.54	6.08	13.8	13.16	1.3	57.18	115.74
P21_L17	6.74	7.344	17.822	23.4	1.84	35.9	216
P21_L18	7.26	7.864	24.698	15.72	1.64	39.78	319.36
P21_L19	6.84	7.286	12.79	11.54	1.38	38.34	153.3
P21_L20	5.58	6.13	10.59	20.36	1.8	65.76	125.9
P21_L21	7.12	7.666	29.076	14.12	1.38	79.9	186.32
P21_L22	6.16	6.702	17.664	10.24	1.26	100.56	201.76
P21_L23	7.1	7.626	30.84	12.56	1.26	79.56	168.96
P21_L24	6.38	6.992	15.18	11.2	1.32	108.1	161.12
P21_L25	6.38	6.992	15.18	11.2	1.32	108.1	161.12
P21_L26	6.78	7.232	11.49	14.8	1.76	39.16	247.1
P21_L27	7.38	7.99	16.576	8.46	1.28	NA	148.62
P21_L28	7.48	8.078	22.53	14.32	1.64	36.38	257.06
P21_L29	4.82	5.42	19.222	54.9	4.46	48.82	310.98
P21_L30	5.24	5.54	28.642	39.58	3.7	NA	183.9
P21_L31	4.7	5.394	12.084	65.72	5.12	NA	213.46
P21_L32	5.3	6.112	7.388	11.3	1.18	NA	415.6
P21_L33	6.62	7.05	16.09	18.52	1.92	NA	206.64
P21_L34	5.96	6.402	8.346	14.32	1.54	15.7	216.7
P21_L35	7.48	7.824	20.418	20.08	1.98	19.24	242.26
P21_L36	5.14	5.734	13.694	15.12	1.66	NA	160.98
P21_L37	7.48	8.012	26.934	19.82	1.72	NA	206.4
P21_L38	6.92	7.56	11.784	25.54	2.48	42.28	334.96
P21_L39	6.08	6.67	8.996	20.3	2.2	NA	221.56
P21_L40	6.12	6.738	8.85	16.9	1.84	NA	222.52
P21_L41	7.34	7.994	17.44	22.94	2.04	NA	239.56
P21_L42	6.52	7.068	22.758	19.38	2.2	87.48	372.52
P21_L43	5.88	6.354	19.186	15.4	1.96	34.22	146.42
P21_L44	6.82	7.358	14.526	17.82	2.18	44.2	217.22
P21_L45	6.4	6.864	12.69	16.72	2.12	43.06	205.66
P21_L46	6.12	6.604	20.714	17.48	2.06	58.7	287.38
P21_L48	7.26	7.864	24.698	15.72	1.64	39.78	319.36
P21_L49	7.24	7.836	24.82	15.18	1.6	35.26	271.38
