Genus	Isolate	Isolate_ID	BOLD_ID	Genbank_acc
Ach	Achlya ambisexualis	CBS 101.50	OOMYA1184-08	HQ708156, HQ643083
Ach	Achlya ambisexualis	CBS 383.79	OOMYA1185-08	HQ708155, HQ643082
Ach	Achlya americana	CBS 100.52	OOMYA1186-08	HQ708157, HQ643084
Ach	Achlya aquatica*	CBS 103.67	OOMYA1187-08	HQ708158, HQ643085
Ach	Achlya bisexualis	CBS 100.42	OOMYA1188-08	HQ708161, HQ643088
Ach	Achlya bisexualis	CBS 102.62	OOMYA1190-08	HQ708160, HQ643087
Ach	Achlya bisexualis	CBS 103.50	OOMYA1191-08	HQ708159, HQ643086
Ach	Achlya caroliniana	CBS 544.67	OOMYA1192-08	HQ708162, HQ643089
Ach	Achlya colorata	CBS 102.37	OOMYA1193-08	HQ708164, HQ643091
Ach	Achlya colorata	CBS 545.67	OOMYA1194-08	HQ708163, HQ643090
Ach	Achlya conspicua	CBS 103.37	OOMYA1195-08	HQ708165, HQ643092
Ach	Achlya dubia	CBS 101.38	OOMYA1196-08	HQ708167, HQ643094
Ach	Achlya dubia	CBS 546.67	OOMYA1197-08	HQ708166, HQ643093
Ach	Achlya flagellata	CBS 104.37	OOMYA1198-08	HQ708170, HQ643097
Ach	Achlya flagellata	CBS 107.35	OOMYA1199-08	HQ708169, HQ643096
Ach	Achlya flagellata	CBS 528.67	OOMYA1200-08	HQ708168, HQ643095
Ach	Achlya glomerata	CBS 105.50	OOMYA1201-08	HQ708171, HQ643098
Ach	Achlya heterosexualis	CBS 419.65	OOMYA1202-08	HQ708173, HQ643100
Ach	Achlya heterosexualis	CBS 420.65	OOMYA1203-08	HQ708172, HQ643099
Ach	Achlya oligocantha	CBS 101.44	OOMYA1204-08	HQ708174, HQ643101
Ach	Achlya papillosa	CBS 101.52	OOMYA1205-08	HQ708175, HQ643102
Ach	Achlya racemosa	CBS 103.38	OOMYA1206-08	HQ708178, HQ643105
Ach	Achlya racemosa	CBS 541.67	OOMYA1207-08	HQ708177, HQ643104
Ach	Achlya racemosa	CBS 578.67	OOMYA1208-08	HQ708176, HQ643103
Ach	Achlya radiosa	CBS 547.67	OOMYA1210-08	HQ708179, HQ643106
Ach	Achlya recurva	CBS 108.50	OOMYA1211-08	HQ708180, HQ643107
Ach	Achlya sparrowii*	CBS 102.49	OOMYA1213-08	HQ708181, HQ643108
Ach	Achlya spinosa	CBS 576.67	OOMYA1214-08	HQ708182, HQ643109
Alb	Albugo candida	AC2V	OOMYA2013-10	HQ708184, HQ643111, HQ665049
Alb	Albugo candida	AC7A	OOMYA2014-10	HQ708183, HQ643110, HQ665050
Aph	Aphanomyces cladogamus	BR 693	OOMYA1218-08	HQ708187, HQ643114
Aph	Aphanomyces cladogamus	CBS 690.79	OOMYA1217-08	HQ708185, HQ643112
Aph	Aphanomyces cladogamus	CBS 108.29	OOMYA1215-08	HQ708186, HQ643113, HQ665056
Aph	Aphanomyces cochlioides	CBS 477.71	OOMYA1216-08	HQ708188, HQ643115, HQ665241
Aph	Aphanomyces euteiches	BR 694	OOMYA1219-08	HQ708193, HQ643120
Aph	Aphanomyces euteiches	CBS 155.73	OOMYA1221-08	HQ708191, HQ643118
Aph	Aphanomyces euteiches	CBS 157.73	OOMYA1223-08	HQ708189, HQ643116
Aph	Aphanomyces euteiches	CBS 154.73	OOMYA1220-08	HQ708192, HQ643119, HQ665129
