Genus_neu	Genus_alt	Species	Clade
Globisporangium	Pythium	attrantheridium	F
Globisporangium	Pythium	heterothallicum	I
Globisporangium	Pythium	sylvaticum	F
Pythium	Pythium	aff._hydnosporum	D
Pythium	Pythium	monospermum	A
Pythium	Pythium	arrhenomanes	B
Globisporangium	Pythium	ultimum_var._ultimum	I
Globisporangium	Pythium	rostratifingens	E
Globisporangium	Pythium	intermedium	F
Pythium	Pythium	sp._nov	NA
Globisporangium	Pythium	apiculatum	E
Globisporangium	Pythium	pleroticum	E
Pythium	Pythium	volutum	B
Globisporangium	Pythium	minus	E
Pythium	Pythium	aff._volutum	B
Pythium	Pythium	myriotylum	B
Pythium	Pythium	aff._torulosum	B
Pythium	Pythium	dissimile	B
Globisporangium	Pythium	irregulare	F
Globisporangium	Pythium	glomeratum	I
Globisporangium	Pythium	carolinianum	E
Pythium	Pythium	inflatum	B
Globisporangium	Pythium	longandrum	E
Globisporangium	Pythium	rhizosaccharum	E
Globisporangium	Pythium	camurandrum	E
Globisporangium	Pythium	parvum	E
Globisporangium	Pythium	spinosum	F
Pythium	Pythium	vanterpoolii	B
Pythium	Pythium	pachycaule	B
Globisporangium	Pythium	mamillatum	F
Globisporangium	Pythium	nunn	J
Globisporangium	Pythium	orthogonon	J
Pythium	Pythium	aphanidermatum	A
Pythium	Pythium	conidiophorum	B
Globisporangium	Pythium	takayamanum	E
Globisporangium	Pythium	paroecandrum	F
Globisporangium	Pythium	spiculum	F
Globisporangium	Pythium	terrestris	F
Globisporangium	Pythium	nodosum	J
Pythium	Pythium	aff._periilum	B
Pythium	Pythium	tracheiphilum	B
Pythium	Pythium	acanthicum	D
Globisporangium	Pythium	perplexum	J
Pythium	Pythium	periplocum	D
Globisporangium	Pythium	radiosum	E
Globisporangium	Pythium	debaryanum	F
Globisporangium	Pythium	emineosum	F
Globisporangium	Pythium	ultimum	I
Pythium	Pythium	catenulatum	B
Pythium	Pythium	kashmirense	B
Pythium	Pythium	lycopersicum	D
Globisporangium	Pythium	erinaceus	E
Phytopythium	Phytopythium	boreale	K
Pythium	Pythium	adhaerens	A
Pythium	Pythium	chondricola	A
Pythium	Pythium	afertile	B
Pythium	Pythium	angustatum	B
Pythium	Pythium	folliculosum	B
Pythium	Pythium	pectinolyticum	B
Pythium	Pythium	pyrilobum	B
Pythium	Pythium	grandisporangium	C
Pythium	Pythium	insidiosum	C
Globisporangium	Pythium	acrogynum	E
Globisporangium	Pythium	aff._pleroticum	E
Globisporangium	Pythium	middletonii	E
Globisporangium	Pythium	papilogynum	E
Globisporangium	Pythium	lucens	F
Globisporangium	Pythium	nagaii	G
Globisporangium	Pythium	okanoganense	G
Globisporangium	Pythium	aff._polymastum	J
Globisporangium	Pythium	jasmonium	J
Phytopythium	Phytopythium	litorale	K
Phytopythium	Phytopythium	vexans	K
